ICAO,FAA,GHCND
KLAX       ,LAX      ,USW00023174 
KPHX       ,PHX      ,USW00023183 
KRNO       ,RNO      ,USW00023185 
KSAN       ,SAN      ,USW00023188 
KINW       ,INW      ,USW00023194 
KSAC       ,SAC      ,USW00023232 
KSFO       ,SFO      ,USW00023234 
KSCK       ,SCK      ,USW00023237 
KSMX       ,SMX      ,USW00023273 
KBIS       ,BIS      ,USW00024011 
KCYS       ,CYS      ,USW00024018 
KLND       ,LND      ,USW00024021 
KLBF       ,LBF      ,USW00024023 
KBFF       ,BFF      ,USW00024028 
KSHR       ,SHR      ,USW00024029 
KVTN       ,VTN      ,USW00024032 
KBIL       ,BIL      ,USW00024033 
KCPR       ,CPR      ,USW00024089 
KRAP       ,RAP      ,USW00024090 
KEKO       ,EKO      ,USW00024121 
KSLC       ,SLC      ,USW00024127 
KWMC       ,WMC      ,USW00024128 
KBOI       ,KBOI     ,USW00024131 
KGTF       ,GTF      ,USW00024143 
KHLN       ,HLN      ,USW00024144 
KGPI       ,GPI      ,USC00244558 
KLWS       ,LWS      ,USW00024149 
KMSO       ,MSO      ,USW00024153 
KPDT       ,PDT      ,USW00024155 
KPIH       ,PIH      ,USW00024156 
KGEG       ,GEG      ,USW00024157 
KEKA       ,EKA      ,USW00024213 
KEUG       ,EUG      ,USW00024221 
KMFR       ,MFR      ,USW00024225 
KOLM       ,OLM      ,USW00024227 
KPDX       ,PDX      ,USW00024229 
KSLE       ,SLE      ,USW00024232 
KSEA       ,SEA      ,USW00024233 
KYKM       ,YKM      ,USW00024243 
KRDD       ,RDD      ,USW00024257 
PAJN       ,JNU      ,USW00025309 
PAKT       ,KTN      ,USW00025325 
PAYA       ,YAK      ,USW00025339 
PADQ       ,ADQ      ,USW00025501 
PAKN       ,AKN      ,USW00025503 
PAHO       ,HOM      ,USW00025507 
PACD       ,CDB      ,USW00025624 
PASN       ,SNP      ,USW00025713 
PAFA       ,FAI      ,USW00026411 
PAGK       ,GKN      ,USW00026425 
PANC       ,ANC      ,USW00026451 
PAMC       ,MCG      ,USW00026510 
PATK       ,TKA      ,USW00026528 
PABE       ,BET      ,USW00026615 
PAOT       ,OTZ      ,USW00026616 
PAOM       ,OME      ,USW00026617 
PABR       ,BRW      ,USW00027502 
PTYA       ,T11      ,FMW00040308 
PTKK       ,TKK      ,FMW00040505 
PKWA       ,KWAP8    ,RMW00040604 
PKMR       ,MAJ      ,RMW00040710 
PGUM       ,GUM      ,GQW00041415 
KOQT       ,OQT      ,USW00053868 
NSTU       ,NSTU     ,AQW00061705 
