iata_code
ABE
ABQ
AVL
AVP
BHM
BIH
BNA
BTV
BUF
CHA
CRP
DAY
EGE
ERI
EYW
FAR
FLG
FSD
GRB
GSP
HDN
HHH
HOB
ILM
ITO
JAC
JAN
LEX
LFT
LNK
MAF
MDT
MEM
MFR
MKE
MRY
MTJ
ONT
ORF
PIA
PQI
PSP
PVD
PWM
RIC
ROC
SAF
SAV
SBA
SBN
SCE
SDF
SHV
SRQ
STS
SYR
TYS
XNA
